Iteration,X,Y,Lat,Long
1,168.25,796.25,39.61290701,-74.3629322
2,168,738.5,39.6129958,-74.36290635
3,167,673.25,39.6130949,-74.36287819
4,161.5,609.75,39.61319521,-74.36285581
5,153,542.75,39.61329783,-74.36282842
6,154.25,477,39.61339698,-74.36279447
7,159.25,416.75,39.61348958,-74.36275859
8,157.5,349.5,39.61359336,-74.36272309
9,160,290,39.61368093,-74.3626876
10,163.5,211,39.61379976,-74.36263629
11,173,154,39.61390316,-74.36260523
12,207.5,113,39.61395331,-74.36249219
13,263.5,109.25,39.61392901,-74.36235639
14,315.75,106.75,39.6139047,-74.36223833
15,368.5,106,39.61387422,-74.36212027
16,426.75,104,39.61385647,-74.36198409
17,481,104.25,39.61382985,-74.36186063
18,548.5,107.5,39.6137905,-74.36171055
19,606,108.25,39.61376388,-74.36158053
20,663.75,110.5,39.61373803,-74.36145206
21,727,112.25,39.61370678,-74.36130739
22,792.25,113.25,39.6136736,-74.36116117
23,859.25,138.5,39.61360879,-74.36101996
24,899.25,191.5,39.61351257,-74.36095544
24,899.75,191.25,39.61351257,-74.36095544
26,903.25,258.5,39.61340628,-74.3609764
27,811.75,272,39.61342525,-74.36119346
28,753.5,269.25,39.61345718,-74.3613262
29,689.5,267.25,39.61348712,-74.36146941
30,615,264.5,39.61352255,-74.36163757
31,546.75,264.25,39.61355149,-74.36179176
32,488.25,266,39.61357744,-74.36192699
33,414.5,260.75,39.61361586,-74.36209166
34,343.5,257.25,39.61365279,-74.36225184
35,256.5,255.5,39.61369371,-74.36245094
36,254,399.25,39.61347262,-74.36252722
37,326.75,401.25,39.61343773,-74.36236342
38,390,400.75,39.61341186,-74.36221481
39,457,401.25,39.61338149,-74.36206496
40,516.5,404.75,39.61335357,-74.36193154
41,518,337.75,39.61345579,-74.36189952
42,595.75,407.5,39.61331375,-74.36175214
43,659.5,409,39.61328378,-74.36160804
44,737.25,410,39.61324683,-74.36143234
45,896.25,411.75,39.61317471,-74.36107099
46,902,349,39.6132719,-74.36102523
47,901.75,473,39.61308197,-74.36110116
48,899.5,533.5,39.61299167,-74.36113559
49,902,594.75,39.61289448,-74.36114935
50,815.75,584.75,39.61293619,-74.36134414
51,739,590,39.6129702,-74.36151584
52,665,590,39.61300098,-74.36168593
53,591,583.5,39.61304107,-74.36185075
54,510.5,590.75,39.6130674,-74.36202974
55,516,482,39.61323221,-74.36197062
56,434.25,593,39.61309939,-74.36221197
57,367.75,592,39.61312733,-74.36236424
58,303,598.5,39.61314798,-74.36251367
59,242.25,602,39.6131658,-74.36265379
60,265.75,782.75,39.6128855,-74.36270483
61,337,784.5,39.61284724,-74.36252865
62,398,786.5,39.61281921,-74.36238983
63,509.5,777.25,39.61278006,-74.36213179
64,590.25,783.75,39.61274046,-74.3619516
65,676.5,782,39.61271822,-74.36174471
66,747.25,781,39.61268129,-74.36158188
67,831,779,39.61265059,-74.36139012
68,884.75,770.75,39.61264125,-74.36126821
69,907.25,722,39.61270176,-74.36119836
70,908.25,665,39.61278673,-74.36116766
71,513,643.25,39.61299495,-74.36205445
72,807.5,410.25,39.61321604,-74.36127315
73,513.25,700,39.6129083,-74.36208008
74,156.75,830,39.61286004,-74.36296823
